date,production,p_per_m2,p_max,panel_area,facade_area,total_panel_area,exploitation_ratio,air_temp_mean,air_temp_max,clearsky_ghi_mean,clearsky_gti_mean,cloud_opacity_mean,ghi_mean,ghi_max,gti_mean,gti_max,precipitable_water_mean,precipitable_water_min,precipitable_water_max,precipitation_rate_mean,precipitation_rate_min,precipitation_rate_max,relative_humidity_mean,relative_humidity_min,relative_humidity_max,surface_pressure_mean,surface_pressure_min,surface_pressure_max,wind_direction_100m_mean,wind_direction_100m_min,wind_direction_100m_max,wind_speed_100m_mean,wind_speed_100m_min,wind_speed_100m_max,building_id
2021-02-02,1.7,143.0,210,1.72,243.0,111.8,0.46,9.770833333333334,12,89.875,161.0,67.73333333333333,29.3125,124,28.58333333333333,120,20.84375,13.8,24.0,0.24375,0.0,0.6,89.47291666666666,87.1,91.8,1005.01875,1003.4,1006.4,218.9375,194,255,7.883333333333333,4.6,10.6,6
2021-02-03,1.1,143.0,210,1.72,243.0,111.8,0.46,11.125,12,92.22916666666669,165.95833333333334,61.3625,21.5625,118,20.75,114,20.84583333333333,12.2,28.4,0.6041666666666666,0.0,2.0,83.44166666666668,72.3,92.2,1004.2229166666666,1000.8,1010.7,215.75,181,251,9.4,6.2,12.7,6
2021-02-04,15.4,143.0,210,1.72,243.0,111.8,0.46,8.166666666666666,11,97.4375,175.85416666666666,46.552083333333336,71.45833333333333,371,101.91666666666669,626,15.68125,10.7,21.0,0.0333333333333333,0.0,0.5,81.31875000000001,71.2,92.7,1014.6145833333334,1011.3,1016.6,179.375,124,238,3.80625,1.1,8.8,6
2021-02-05,1.2,143.0,210,1.72,243.0,111.8,0.46,8.0625,10,85.70833333333333,138.125,75.66666666666667,26.229166666666668,150,25.27083333333333,145,22.40625,21.2,23.5,0.3645833333333333,0.0,1.4,92.17083333333332,82.7,98.3,1012.7395833333334,1010.3,1014.0,146.77083333333334,63,260,2.1041666666666665,0.4,3.7,6
2021-02-06,0.5,143.0,210,1.72,243.0,111.8,0.46,7.0625,9,75.14583333333333,105.625,79.24583333333334,12.875,74,12.416666666666666,72,20.875,18.3,22.4,0.0729166666666666,0.0,0.5,96.23333333333332,88.7,99.3,1004.8,999.4,1010.3,110.33333333333331,65,147,2.1354166666666665,1.1,3.7,6
2021-02-07,2.7,143.0,210,1.72,243.0,111.8,0.46,5.979166666666667,8,85.6875,130.47916666666666,69.80416666666666,35.791666666666664,200,34.5,193,15.985416666666666,11.0,20.6,0.2020833333333333,0.0,0.8,89.42083333333333,84.0,96.1,996.7875,995.7,998.9,207.91666666666663,142,287,4.808333333333334,3.2,6.8,6
2021-02-08,0.8,143.0,210,1.72,243.0,111.8,0.46,0.8125,3,95.75,153.85416666666666,61.38333333333333,20.9375,81,20.20833333333333,79,9.366666666666667,7.1,11.6,0.125,0.0,0.4,91.3875,86.1,96.2,997.0916666666668,995.9,999.7,232.8333333333333,188,292,2.672916666666667,0.8,4.6,6
2021-02-09,0.8,143.0,210,1.72,243.0,111.8,0.46,-1.875,-1,93.58333333333331,144.08333333333334,58.91041666666666,21.729166666666668,82,21.20833333333333,79,8.089583333333334,6.8,11.6,0.0041666666666666,0.0,0.1,88.76666666666667,78.7,96.2,1002.7229166666666,999.7,1004.4,130.10416666666666,0,353,2.6979166666666665,1.1,5.3,6
2021-02-10,7.5,143.0,210,1.72,243.0,111.8,0.46,-5.729166666666667,-4,97.95833333333331,155.14583333333334,60.6875,38.083333333333336,206,36.645833333333336,198,10.658333333333331,4.5,14.0,0.1958333333333333,0.0,0.5,77.41666666666667,72.9,82.0,1007.8354166666668,1001.2,1019.8,23.791666666666668,13,40,5.333333333333333,4.1,5.9,6
2021-02-11,61.4,143.0,210,1.72,243.0,111.8,0.46,-7.708333333333333,-3,117.0625,201.4375,9.908333333333331,90.70833333333331,335,125.60416666666669,535,3.779166666666667,3.4,4.4,0.0,0.0,0.0,76.68958333333333,59.9,89.4,1026.10625,1020.3,1028.5,59.41666666666666,24,82,4.591666666666667,2.8,6.4,6
