production,p_per_m2,p_max,panel_area,facade_area,total_panel_area,exploitation_ratio,air_temp_mean,air_temp_max,clearsky_ghi_mean,clearsky_gti_mean,cloud_opacity_mean,ghi_mean,ghi_max,gti_mean,gti_max,precipitable_water_mean,precipitable_water_min,precipitable_water_max,precipitation_rate_mean,precipitation_rate_min,precipitation_rate_max,relative_humidity_mean,relative_humidity_min,relative_humidity_max,surface_pressure_mean,surface_pressure_min,surface_pressure_max,wind_direction_100m_mean,wind_direction_100m_min,wind_direction_100m_max,wind_speed_100m_mean,wind_speed_100m_min,wind_speed_100m_max
51.3,143.0,210,1.72,251.0,111.8,0.445,6.5625,17,131.8125,219.54166666666663,5.552083333333333,131.8125,514,219.54166666666663,821,5.08125,4.4,6.2,0.0,0.0,0.0,63.32083333333333,33.5,79.7,1024.6479166666666,1022.5,1026.9,191.9583333333333,178,208,4.666666666666667,3.4,5.4
50.5,143.0,210,1.72,251.0,111.8,0.445,6.416666666666667,16,130.91666666666666,215.25,7.045833333333333,130.79166666666666,509,214.6458333333333,805,6.729166666666667,6.2,7.9,0.0,0.0,0.0,65.44791666666667,37.8,81.4,1020.8708333333334,1018.6,1023.1,194.6458333333333,151,217,3.9625,1.2,5.5
3.5,143.0,210,1.72,251.0,111.8,0.445,6.75,11,109.70833333333331,160.91666666666666,55.06666666666666,29.854166666666668,131,29.27083333333333,127,14.058333333333332,8.2,17.8,0.0,0.0,0.0,75.06041666666667,61.8,90.1,1021.4604166666668,1019.7,1023.5,243.54166666666663,4,358,4.0625,1.0,7.1
36.3,143.0,210,1.72,251.0,111.8,0.445,6.583333333333333,13,122.16666666666669,188.6875,35.93541666666667,105.16666666666669,454,144.83333333333334,683,14.38125,11.7,16.3,0.0,0.0,0.0,82.94583333333334,62.1,96.5,1024.775,1023.3,1026.9,196.04166666666663,163,347,1.8854166666666667,0.1,3.0
38.0,143.0,210,1.72,251.0,111.8,0.445,8.479166666666666,16,129.22916666666666,202.9375,8.045833333333333,119.5625,499,177.14583333333334,771,15.64375,13.0,18.4,0.0,0.0,0.0,74.26666666666667,49.3,93.1,1028.6958333333334,1027.2,1031.5,239.3125,199,306,2.6020833333333333,1.3,3.8
11.7,143.0,210,1.72,251.0,111.8,0.445,9.1875,13,130.375,204.35416666666663,32.079166666666666,63.875,335,68.70833333333333,368,16.020833333333332,12.2,20.2,0.0,0.0,0.0,77.35416666666667,59.3,90.3,1034.1291666666666,1031.7,1036.1,154.29166666666666,7,353,3.489583333333333,0.8,5.9
43.5,143.0,210,1.72,251.0,111.8,0.445,6.479166666666667,12,144.41666666666666,231.60416666666663,17.19375,135.875,520,209.25,810,7.541666666666667,5.9,11.8,0.0,0.0,0.0,60.46041666666667,31.3,92.0,1035.7520833333333,1034.6,1036.6,64.83333333333333,48,83,5.458333333333333,4.5,6.9
53.9,143.0,210,1.72,251.0,111.8,0.445,5.75,13,145.9375,232.5625,3.96875,144.5625,542,229.29166666666663,837,8.9,6.7,12.7,0.0,0.0,0.0,42.54375,25.6,55.4,1036.025,1035.0,1037.0,52.85416666666666,35,112,3.470833333333333,0.3,5.3
52.3,143.0,210,1.72,251.0,111.8,0.445,8.270833333333334,17,146.22916666666666,230.0833333333333,10.166666666666666,144.125,544,224.2083333333333,829,9.975,8.3,11.8,0.0,0.0,0.0,50.74791666666667,34.7,77.8,1035.70625,1034.4,1036.8,48.875,33,61,3.797916666666667,2.1,4.9
49.4,143.0,210,1.72,251.0,111.8,0.445,8.854166666666666,19,151.35416666666666,237.1458333333333,15.691666666666668,146.5,560,223.79166666666663,853,8.708333333333334,6.2,10.6,0.0,0.0,0.0,67.67083333333333,36.3,87.5,1033.3270833333331,1031.4,1035.2,56.958333333333336,38,97,2.1020833333333333,0.8,3.5
