production,p_per_m2,facade_area,total_panel_area,exploitation_ratio,cloud_opacity_mean,cloud_opacity_q2,cloud_opacity_q3,dni_mean,dni_std,dni_q3,dni_max,gti_mean,gti_std,gti_q3,gti_max
16.3,143.0,218.0,94.6,0.434,32.25625,31.9,49.75,63.97916666666666,144.64666996237997,35.75,777,102.04166666666669,165.42555802604065,159.5,610
45.3,143.0,218.0,94.6,0.434,2.3208333333333333,0.0,0.0,260.0625,350.90275104576955,664.25,829,196.66666666666663,284.7460483601793,432.25,758
46.9,143.0,218.0,94.6,0.434,3.1750000000000003,0.0,0.0,257.5208333333333,352.02762159417017,641.0,843,197.8125,287.80819974494386,432.5,767
46.7,143.0,218.0,94.6,0.434,0.0,0.0,0.0,284.8125,373.258945896129,730.25,879,210.16666666666663,299.3272124980353,466.0,795
46.1,143.0,218.0,94.6,0.434,0.0458333333333333,0.0,0.0,292.2916666666667,380.4826139307105,717.5,892,213.8333333333333,303.05264856360924,466.5,804
46.9,143.0,218.0,94.6,0.434,5.552083333333333,0.0,0.0,300.2916666666667,388.9365182754468,761.25,910,219.5208333333333,309.8451218863024,488.0,821
46.6,143.0,218.0,94.6,0.434,7.058333333333334,0.0,0.0,285.7083333333333,374.3368581015411,726.25,879,214.5625,303.9952341626707,478.25,805
3.8,143.0,218.0,94.6,0.434,54.99375,53.3,65.2,1.5,6.414743655845708,0.0,37,29.14583333333333,41.65000553412818,69.0,126
35.0,143.0,218.0,94.6,0.434,35.733333333333334,30.5,64.3,128.0625,205.51030478382447,247.25,667,145.4375,215.99122384160827,296.25,683
38.0,143.0,218.0,94.6,0.434,8.045833333333333,0.0,9.5,188.22916666666663,282.3357921991783,400.75,809,177.0,263.5958382779341,362.5,771
10.6,143.0,218.0,94.6,0.434,31.947916666666668,32.1,57.8,27.604166666666668,87.46397181267398,0.0,477,68.875,101.40704264434666,126.25,374
42.9,143.0,218.0,94.6,0.434,17.139583333333334,9.6,27.75,256.4791666666667,351.4959513451851,585.25,922,209.4583333333333,297.93487495812246,452.25,810
50.8,143.0,218.0,94.6,0.434,3.8958333333333335,0.0,0.0,313.8333333333333,393.7539642939016,766.75,926,229.35416666666663,315.02188303478243,513.25,836
49.6,143.0,218.0,94.6,0.434,10.14375,0.0,10.025,291.3541666666667,384.9448973876946,748.25,896,224.16666666666663,314.8171595889132,511.0,829
46.3,143.0,218.0,94.6,0.434,15.777083333333332,3.1,33.95,277.125,383.2411953715143,703.75,928,223.6458333333333,319.2943342703768,495.25,853
48.0,143.0,218.0,94.6,0.434,0.1458333333333333,0.0,0.0,323.7083333333333,396.7090663613996,763.0,924,237.75,323.3018811930712,530.0,854
42.9,143.0,218.0,94.6,0.434,1.1916666666666669,0.0,0.0,248.875,322.8275756762753,599.0,799,212.25,294.0537293500642,476.5,796
2.5,143.0,218.0,94.6,0.434,50.51578947368421,65.9,81.4,0.0210526315789473,0.1443214031708876,0.0,1,30.44210526315789,43.89656987265118,55.5,164
8.2,143.0,218.0,94.6,0.434,43.625,54.4,62.625,1.1041666666666667,7.464271624022869,0.0,52,61.85416666666666,90.70785716175416,123.0,307
