,production,p_per_m2,p_max,panel_area,facade_area,total_panel_area,exploitation_ratio,air_temp_mean,air_temp_max,clearsky_ghi_mean,clearsky_gti_mean,cloud_opacity_mean,ghi_mean,ghi_max,gti_mean,gti_max,precipitable_water_mean,precipitable_water_min,precipitable_water_max,precipitation_rate_mean,precipitation_rate_min,precipitation_rate_max,relative_humidity_mean,relative_humidity_min,relative_humidity_max,surface_pressure_mean,surface_pressure_min,surface_pressure_max,wind_direction_100m_mean,wind_direction_100m_min,wind_direction_100m_max,wind_speed_100m_mean,wind_speed_100m_min,wind_speed_100m_max
25,3.1,143.0,210,1.72,218.0,94.6,0.434,2.8125,5,81.91666666666667,154.20833333333334,77.03333333333333,25.5625,133,24.791666666666668,129,14.179166666666667,10.1,17.1,0.0604166666666666,0.0,0.3,83.93541666666667,75.4,87.3,1012.425,1003.4,1017.3,208.0208333333333,192,214,7.837499999999999,7.1,9.3
26,4.4,143.0,210,1.72,218.0,94.6,0.434,6.041666666666667,8,85.29166666666667,161.8125,74.49791666666667,30.33333333333333,228,31.08333333333333,274,12.891666666666666,9.5,16.4,0.1999999999999999,0.0,0.7,79.57708333333333,70.5,85.9,994.81875,990.4,1002.9,216.41666666666663,191,279,9.43125,6.8,10.6
27,1.4,143.0,210,1.72,218.0,94.6,0.434,2.395833333333333,3,82.625,148.5625,69.67708333333333,24.041666666666668,110,23.27083333333333,106,10.139583333333333,7.0,11.3,0.2125,0.0,0.5,87.94791666666667,85.4,90.4,1001.1395833333332,997.9,1008.0,246.375,217,282,8.081249999999999,4.4,9.6
28,22.3,143.0,210,1.72,218.0,94.6,0.434,1.2916666666666667,4,90.625,170.27083333333334,49.989583333333336,67.5,371,100.64583333333331,665,7.1125,6.2,8.5,0.0,0.0,0.0,82.32083333333334,65.5,91.7,1005.6729166666668,996.0,1010.4,189.625,121,264,4.227083333333334,2.6,5.3
29,4.6,143.0,210,1.72,218.0,94.6,0.434,0.875,3,86.95833333333333,156.66666666666666,50.43541666666667,32.3125,171,31.83333333333333,165,8.8375,6.1,10.8,0.0541666666666666,0.0,0.3,79.24583333333334,70.5,86.8,995.7166666666668,991.0,1000.2,190.4375,124,241,8.012500000000001,4.0,11.3
30,18.6,143.0,210,1.72,218.0,94.6,0.434,1.2291666666666667,4,95.10416666666669,177.95833333333334,59.12708333333333,61.458333333333336,328,85.0,571,8.55625,5.8,14.7,0.1166666666666666,0.0,0.5,81.52291666666666,66.9,90.2,996.2895833333332,991.1,998.9,160.20833333333334,109,192,5.433333333333334,2.8,7.4
31,1.1,143.0,210,1.72,218.0,94.6,0.434,4.229166666666667,6,90.125,162.375,77.0125,25.64583333333333,147,24.83333333333333,142,16.177083333333332,13.8,18.5,0.3229166666666667,0.1,0.8,92.46458333333334,83.9,97.7,990.1979166666666,988.5,991.5,130.66666666666666,45,203,3.702083333333333,1.6,7.2
32,16.1,143.0,210,1.72,218.0,94.6,0.434,4.791666666666667,7,93.14583333333331,167.27083333333334,66.1875,61.395833333333336,376,86.89583333333333,651,11.88125,10.1,14.0,0.00625,0.0,0.1,91.91875,78.7,97.7,997.0875,990.3,1005.7,264.2708333333333,157,358,3.1645833333333333,2.0,4.8
33,2.0,143.0,210,1.72,218.0,94.6,0.434,2.5416666666666665,4,93.33333333333331,164.14583333333334,63.520833333333336,30.27083333333333,174,29.1875,168,10.46875,7.3,13.8,0.1041666666666666,0.0,0.4,82.18541666666667,69.5,92.8,1017.4541666666668,1006.1,1028.6,339.375,303,355,5.33125,1.7,7.7
34,38.2,143.0,210,1.72,218.0,94.6,0.434,0.7916666666666666,5,102.9375,188.1458333333333,23.916666666666668,100.45833333333331,423,178.25,731,6.4750000000000005,5.5,8.5,0.0,0.0,0.0,78.42083333333333,57.8,92.0,1028.9041666666667,1027.7,1030.6,166.375,20,343,1.9083333333333328,0.2,4.1
