production,p_per_m2,panel_area,facade_area,total_panel_area,exploitation_ratio,cloud_opacity_mean,cloud_opacity_q1,cloud_opacity_q2,cloud_opacity_q3,dni_mean,dni_std,dni_q3,dni_max,ghi_std,gti_mean,gti_std,gti_q3,gti_max,relative_humidity_std,relative_humidity_min
46.7,143.0,1.72,218.0,94.6,0.434,0.0,0.0,0.0,0.0,284.8125,373.258945896129,730.25,879,182.3702103333252,210.16666666666663,299.3272124980353,466.0,795,15.56894056964035,41.1
46.1,143.0,1.72,218.0,94.6,0.434,0.0458333333333333,0.0,0.0,0.0,292.2916666666667,380.4826139307105,717.5,892,185.36344283519423,213.8333333333333,303.05264856360924,466.5,804,14.110098836804704,37.8
46.9,143.0,1.72,218.0,94.6,0.434,5.552083333333333,0.0,0.0,0.0,300.2916666666667,388.9365182754468,761.25,910,190.492157235108,219.5208333333333,309.8451218863024,488.0,821,15.274091393853883,33.5
46.6,143.0,1.72,218.0,94.6,0.434,7.058333333333334,0.0,0.0,0.0,285.7083333333333,374.3368581015411,726.25,879,188.82195331367453,214.5625,303.9952341626707,478.25,805,13.361184785236986,37.6
3.8,143.0,1.72,218.0,94.6,0.434,54.99375,48.9,53.3,65.2,1.5,6.414743655845708,0.0,37,42.58125315872438,29.14583333333333,41.65000553412818,69.0,126,7.841242800250619,61.8
35.0,143.0,1.72,218.0,94.6,0.434,35.733333333333334,11.45,30.5,64.3,128.0625,205.51030478382447,247.25,667,153.15318780936363,145.4375,215.99122384160827,296.25,683,11.739481296006684,62.1
38.0,143.0,1.72,218.0,94.6,0.434,8.045833333333333,0.0,0.0,9.5,188.22916666666663,282.3357921991783,400.75,809,175.05148052311165,177.0,263.5958382779341,362.5,771,16.323934777840964,49.3
10.6,143.0,1.72,218.0,94.6,0.434,31.947916666666668,0.0,32.1,57.8,27.604166666666668,87.46397181267398,0.0,477,94.33360665198606,68.875,101.40704264434666,126.25,374,9.936184455052288,59.3
42.9,143.0,1.72,218.0,94.6,0.434,17.139583333333334,0.0,9.6,27.75,256.4791666666667,351.4959513451851,585.25,922,193.62833517037492,209.4583333333333,297.93487495812246,452.25,810,25.031792196472395,31.2
50.8,143.0,1.72,218.0,94.6,0.434,3.8958333333333335,0.0,0.0,0.0,313.8333333333333,393.7539642939016,766.75,926,202.5556529776236,229.35416666666663,315.02188303478243,513.25,836,10.25911612432973,25.7
49.6,143.0,1.72,218.0,94.6,0.434,10.14375,0.0,0.0,10.025,291.3541666666667,384.9448973876946,748.25,896,203.74951594599423,224.16666666666663,314.8171595889132,511.0,829,12.11484055619915,34.7
46.3,143.0,1.72,218.0,94.6,0.434,15.777083333333332,0.0,3.1,33.95,277.125,383.2411953715143,703.75,928,208.3073586644477,223.6458333333333,319.2943342703768,495.25,853,17.046591218279417,36.2
48.0,143.0,1.72,218.0,94.6,0.434,0.1458333333333333,0.0,0.0,0.0,323.7083333333333,396.7090663613996,763.0,924,211.78525919109268,237.75,323.3018811930712,530.0,854,19.00384013078177,29.4
42.9,143.0,1.72,218.0,94.6,0.434,1.1916666666666669,0.0,0.0,0.0,248.875,322.8275756762753,599.0,799,198.9511861439512,212.25,294.0537293500642,476.5,796,10.98842395400304,43.2
2.5,143.0,1.72,218.0,94.6,0.434,50.51578947368421,11.4,65.9,81.4,0.0210526315789473,0.1443214031708876,0.0,1,45.51866087926886,30.44210526315789,43.89656987265118,55.5,164,3.0053673523768043,75.3
8.2,143.0,1.72,218.0,94.6,0.434,43.625,33.1,54.4,62.625,1.1041666666666667,7.464271624022869,0.0,52,92.76247729002527,61.85416666666666,90.70785716175416,123.0,307,8.267143803434575,63.1
4.7,143.0,1.72,218.0,94.6,0.434,63.86875,56.225,63.2,74.825,5.125,35.31966799629381,0.0,246,74.5779675615663,48.47916666666666,79.8972997589526,80.5,417,7.575704471903198,57.4
12.9,143.0,1.72,218.0,94.6,0.434,63.04489795918367,47.2,57.3,84.0,28.10204081632653,95.73645354521425,0.0,503,127.18099347795967,73.75510204081633,154.16908069446632,60.0,606,10.11626166130552,51.6
4.3,143.0,1.72,218.0,94.6,0.434,60.19791666666666,46.5,64.15,73.0,1.3333333333333333,6.898452904983079,0.0,47,64.04939084866542,47.895833333333336,62.14473140857535,98.25,221,6.251779533894768,65.3
25.0,143.0,1.72,218.0,94.6,0.434,46.42083333333333,31.550000000000004,45.8,63.45,77.75,164.79936221731575,36.25,785,162.50051827522373,130.5625,205.5006244490177,196.5,699,14.995105436666252,45.4
22.2,143.0,1.72,218.0,94.6,0.434,40.86666666666667,7.324999999999999,46.9,62.775,112.02083333333331,254.7478093433744,0.0,902,154.99701295451695,122.3125,213.77530023218705,171.75,823,7.7176779662985,54.6
25.5,143.0,1.72,218.0,94.6,0.434,40.90625,19.825,43.85,58.975,76.6875,165.32664717448745,36.75,749,140.59605730527167,118.3125,167.04263135945078,216.75,535,13.352171809158111,41.3
3.2,143.0,1.72,218.0,94.6,0.434,56.85833333333333,50.025,59.75,76.275,0.3125,2.1650635094610964,0.0,15,53.86741258217136,39.16666666666666,52.10028518455591,74.0,153,4.504064358407953,65.8
23.9,143.0,1.72,218.0,94.6,0.434,45.75625,0.8,45.6,87.15,123.75,258.5640790572492,5.5,818,186.18906614262772,141.52083333333334,255.58152212230567,144.0,838,17.45728322473609,44.1
21.4,143.0,1.72,218.0,94.6,0.434,27.45208333333333,0.0,15.5,55.25,71.91666666666667,166.81686140263804,15.5,689,157.46297549736022,118.04166666666669,196.88899111604752,161.0,798,7.461189179455995,47.4
27.9,143.0,1.72,218.0,94.6,0.434,33.80416666666667,13.05,32.95,50.875,124.79166666666669,206.1273060806276,161.5,757,173.00582124424935,161.35416666666666,208.19635674284245,363.25,611,19.67378597550379,30.7
26.3,143.0,1.72,218.0,94.6,0.434,38.67916666666667,19.1,43.15,59.0,80.83333333333333,163.47858644773743,79.0,669,164.08144816281236,140.52083333333334,197.24625386333844,252.5,687,7.348821189302443,59.2
1.8,143.0,1.72,218.0,94.6,0.434,73.60416666666667,66.65,81.25,83.725,1.2291666666666667,8.515916470546978,0.0,59,56.63929903375801,42.8125,55.24362146678978,92.25,170,2.591554067016442,81.1
1.3,143.0,1.72,218.0,94.6,0.434,79.62916666666666,75.0,80.25,88.85,0.0,0.0,0.0,0,41.52355564928015,31.45833333333333,40.109402693098815,62.5,132,3.112721979324109,80.7
26.3,143.0,1.72,218.0,94.6,0.434,40.96458333333333,0.0,38.900000000000006,75.35,133.95833333333334,275.06401253691445,34.25,878,182.37207213560816,153.08333333333334,232.1634451162089,260.0,812,8.608491756350169,57.7
13.5,143.0,1.72,218.0,94.6,0.434,30.3875,0.0,14.7,65.25,52.29166666666666,169.95455692166576,0.0,699,107.48853641664728,80.95833333333333,130.67304632349013,106.0,521,11.26438245341206,51.9
14.7,143.0,1.72,218.0,94.6,0.434,22.12708333333333,0.0,0.0,52.025,67.1875,181.8002944839972,0.0,757,117.86692933946696,95.25,137.83192046065503,157.5,509,7.466861778732416,68.3
40.0,143.0,1.72,218.0,94.6,0.434,3.4770833333333333,0.0,0.0,0.0,280.9583333333333,345.4952016991888,672.0,894,237.83173081162045,245.2708333333333,313.878600978917,540.0,853,20.193036068748025,42.9
49.7,143.0,1.72,218.0,94.6,0.434,1.445833333333333,0.0,0.0,0.0,361.7291666666667,408.1166259879661,826.25,927,264.74786529989444,280.25,360.4685190019918,607.25,942,20.146715410805097,34.4
49.9,143.0,1.72,218.0,94.6,0.434,5.814583333333334,0.0,0.0,0.0,370.4583333333333,418.6474654821285,843.75,943,269.2455368826115,284.9583333333333,365.4966285220603,616.5,954,18.24852029365125,29.6
